epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,151.393,1.19466,5.18544,0.0102,0.82559,0.67208,0.82924,0.67939,0.67885,5.0925,0.00776,0.00998024,0.00332675,0.00998024,0.00332675,0.00998024,0.00332675,0.00998024,0.00332675
2,293.55,0.91204,2.19923,0.00556,0.85161,0.84591,0.92013,0.74458,0.77468,1.96994,0.01214,0.0198484,0.00661612,0.0198484,0.00661612,0.0198484,0.00661612,0.0198484,0.00661612
3,431.556,0.96212,1.02537,0.00577,0.89743,0.8975,0.94649,0.72412,0.94864,0.84243,0.01106,0.0295845,0.0098615,0.0295845,0.0098615,0.0295845,0.0098615,0.0295845,0.0098615
4,500.574,0.9578,0.68107,0.00554,0.89242,0.88891,0.95022,0.69071,1.09831,0.64068,0.01181,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,568.734,0.8973,0.57247,0.00494,0.91876,0.89882,0.95217,0.76333,0.78396,0.45272,0.01253,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,636.903,0.84333,0.50209,0.00451,0.91956,0.94295,0.95814,0.78676,0.70168,0.41106,0.01112,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,705.198,0.82241,0.47701,0.00424,0.93035,0.89518,0.95632,0.78845,0.6888,0.40279,0.01054,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,773.425,0.78501,0.44829,0.00391,0.8981,0.93321,0.96804,0.79305,0.73397,0.37761,0.01251,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,841.4,0.76517,0.44046,0.00385,0.88341,0.92997,0.96749,0.79514,0.68171,0.39275,0.01242,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,909.896,0.75772,0.42416,0.00376,0.92565,0.94672,0.9668,0.80533,0.65309,0.36555,0.01147,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,977.79,0.73781,0.4161,0.00364,0.94542,0.95519,0.97055,0.80019,0.72117,0.33293,0.01372,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1046.01,0.72292,0.4186,0.00353,0.93008,0.95885,0.96848,0.80437,0.65206,0.39066,0.01063,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1114.16,0.72025,0.39492,0.00352,0.94051,0.95369,0.96966,0.80273,0.71595,0.32992,0.01321,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1182.01,0.70112,0.39146,0.00338,0.95194,0.9579,0.97192,0.80583,0.71172,0.31151,0.01422,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1250.04,0.69318,0.39463,0.00334,0.96127,0.95892,0.97593,0.79465,0.78671,0.31761,0.01199,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1318.23,0.69063,0.39988,0.0033,0.95692,0.95013,0.97514,0.80379,0.67099,0.30015,0.01215,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1386.11,0.6859,0.38151,0.0032,0.91962,0.95177,0.96892,0.81969,0.64817,0.31236,0.01202,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1454.37,0.66617,0.38267,0.00315,0.94057,0.95386,0.96917,0.80105,0.70633,0.31462,0.01237,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1522.58,0.66825,0.37653,0.00311,0.9587,0.96013,0.97536,0.82033,0.65793,0.28052,0.01275,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
