epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,280.649,0.97433,4.00312,0.00924,0.78972,0.8945,0.93077,0.74655,0.75203,1.44602,0.01078,0.00999497,0.00333166,0.00999497,0.00333166,0.00999497,0.00333166,0.00999497,0.00333166
2,548.718,0.7925,0.75432,0.00572,0.90275,0.87782,0.94101,0.75725,0.73211,0.4952,0.00861,0.019863,0.006621,0.019863,0.006621,0.019863,0.006621,0.019863,0.006621
3,815.551,0.84021,0.56561,0.00592,0.91626,0.91337,0.94747,0.74694,0.80378,0.44799,0.01132,0.029599,0.00986634,0.029599,0.00986634,0.029599,0.00986634,0.029599,0.00986634
4,1085.2,0.81907,0.51215,0.00562,0.9066,0.91161,0.943,0.74703,0.75122,0.40998,0.01137,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1444.28,0.75413,0.45323,0.00506,0.94036,0.92496,0.96186,0.7834,0.72907,0.37749,0.01179,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2065.79,0.71303,0.4204,0.00464,0.93368,0.94637,0.96414,0.78479,0.69689,0.34709,0.01211,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2700.04,0.69075,0.41301,0.00449,0.95449,0.94137,0.96647,0.80728,0.65275,0.31852,0.01165,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3323.27,0.67382,0.40069,0.00434,0.95022,0.95394,0.97113,0.8149,0.64794,0.30526,0.01162,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3949.05,0.66233,0.39006,0.00425,0.95569,0.95381,0.97332,0.82771,0.63618,0.27728,0.01186,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4581.06,0.6481,0.38447,0.00414,0.95895,0.95524,0.97175,0.81153,0.65911,0.28353,0.01234,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,5201.47,0.63726,0.37715,0.00405,0.96092,0.96267,0.97456,0.81547,0.65561,0.28794,0.01222,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,5828.62,0.62651,0.36716,0.00402,0.96072,0.95968,0.97342,0.81984,0.64761,0.27511,0.01225,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,6458,0.6255,0.3723,0.0039,0.9585,0.95668,0.97325,0.81952,0.64373,0.27937,0.01224,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,7083.53,0.61548,0.36183,0.00389,0.95305,0.9594,0.97424,0.82027,0.64535,0.29242,0.01274,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,7714.05,0.61411,0.35991,0.00386,0.95641,0.9596,0.97316,0.82132,0.65107,0.29481,0.01272,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,8344.18,0.6065,0.3511,0.00381,0.96109,0.96406,0.97546,0.83024,0.6185,0.27129,0.01234,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,8967.25,0.60075,0.34684,0.00375,0.95899,0.96673,0.97673,0.83017,0.6316,0.2699,0.0124,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,9599.75,0.59866,0.34798,0.00371,0.95991,0.96377,0.9763,0.82823,0.62996,0.28236,0.01237,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,10234.9,0.59701,0.34316,0.00368,0.96263,0.96746,0.97724,0.82824,0.63115,0.26363,0.01235,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,10862.3,0.59261,0.34682,0.00363,0.95788,0.9651,0.97544,0.83065,0.61508,0.26498,0.01229,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,11489.1,0.58949,0.34121,0.0036,0.9602,0.96823,0.9764,0.82974,0.62603,0.26291,0.0125,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,12126.3,0.59159,0.34272,0.00364,0.95798,0.96686,0.97674,0.83016,0.63068,0.26512,0.01261,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,12751.1,0.5879,0.33101,0.00353,0.95929,0.96737,0.97694,0.83081,0.63029,0.2661,0.01268,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,13375.2,0.58047,0.33315,0.00348,0.95467,0.96786,0.97646,0.82927,0.62877,0.26722,0.0127,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,14013.1,0.57512,0.32767,0.00343,0.9553,0.96832,0.97699,0.82984,0.62689,0.26507,0.01268,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,14638,0.57444,0.33199,0.00339,0.95841,0.96708,0.97714,0.83052,0.62594,0.26266,0.01273,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,15263.6,0.57242,0.33352,0.00334,0.95466,0.96957,0.97592,0.82925,0.62738,0.27137,0.01285,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,15899.9,0.56729,0.32856,0.00333,0.95891,0.96974,0.97685,0.83022,0.62613,0.26552,0.01289,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,16523.9,0.56475,0.33004,0.00329,0.95839,0.97104,0.97694,0.83033,0.62287,0.26506,0.01293,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,17146.8,0.5686,0.32831,0.00329,0.95575,0.96996,0.97653,0.83058,0.62092,0.26785,0.01291,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,17783.5,0.56493,0.32235,0.00326,0.9575,0.97053,0.97642,0.83006,0.62271,0.2667,0.01299,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,18409.8,0.56409,0.32221,0.00322,0.95807,0.9701,0.9764,0.83036,0.62452,0.26454,0.01306,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,19032.3,0.5643,0.31853,0.00322,0.95705,0.97024,0.97712,0.8309,0.62588,0.26658,0.01311,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,19669.1,0.55799,0.31422,0.00317,0.95699,0.97152,0.97659,0.83058,0.6257,0.26685,0.01318,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,20292.7,0.56238,0.31923,0.00321,0.95744,0.97059,0.97679,0.83081,0.62619,0.26806,0.01325,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,20917.3,0.55461,0.31907,0.00315,0.95929,0.9708,0.97722,0.83182,0.62652,0.26851,0.01333,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,21552.5,0.55228,0.31508,0.00313,0.95627,0.96998,0.97701,0.83103,0.62822,0.27061,0.01345,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,22176.9,0.5549,0.31576,0.00313,0.95564,0.97113,0.97695,0.83039,0.63115,0.2707,0.01356,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,22798.2,0.55249,0.31257,0.00311,0.95466,0.97081,0.97669,0.83049,0.63247,0.27182,0.01365,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,23434.6,0.55042,0.31184,0.00307,0.95423,0.96971,0.97636,0.83028,0.63372,0.27373,0.01372,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,24058.7,0.54912,0.30709,0.00306,0.94721,0.96882,0.97579,0.83037,0.63397,0.2801,0.01376,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,24683.2,0.55049,0.31046,0.00304,0.94393,0.96839,0.97522,0.82949,0.63572,0.28287,0.01388,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,25319.9,0.5474,0.31087,0.00305,0.9433,0.96874,0.97483,0.82995,0.63414,0.28405,0.01392,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,25941.4,0.54651,0.3041,0.00303,0.94493,0.96691,0.97454,0.82969,0.63761,0.28655,0.01402,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,26567.1,0.54258,0.31043,0.00303,0.94382,0.96818,0.97495,0.83021,0.63811,0.28431,0.01406,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,27204.2,0.5416,0.30535,0.00301,0.94407,0.96816,0.97511,0.83042,0.63865,0.28279,0.01415,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,27829.1,0.54179,0.31004,0.00301,0.94652,0.96952,0.97525,0.83083,0.63633,0.27983,0.01415,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,28454.6,0.54203,0.30254,0.00299,0.94985,0.96823,0.97545,0.83044,0.63765,0.27813,0.01425,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,29089.9,0.53826,0.30331,0.00297,0.94941,0.96748,0.97595,0.83111,0.64029,0.2763,0.01434,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
