epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,393.811,2.55146,9.30713,0.04295,0.52146,0.62187,0.58526,0.31916,1.44249,8.59079,0.03106,0.00998024,0.00332675,0.00998024,0.00332675,0.00998024,0.00332675,0.00998024,0.00332675
2,769.013,1.25112,3.43915,0.01136,0.73972,0.85258,0.88354,0.63344,0.94198,3.06698,0.01304,0.0198484,0.00661612,0.0198484,0.00661612,0.0198484,0.00661612,0.0198484,0.00661612
3,1152.68,1.16332,1.47212,0.00924,0.82139,0.91973,0.92784,0.62539,1.18944,1.12693,0.01648,0.0295845,0.0098615,0.0295845,0.0098615,0.0295845,0.0098615,0.0295845,0.0098615
4,1525.56,1.03957,0.82787,0.00775,0.86559,0.92123,0.94179,0.61777,1.22057,0.62383,0.01622,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1908.94,0.91159,0.64808,0.00609,0.8943,0.8926,0.93926,0.71745,0.91899,0.50161,0.01396,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2283.71,0.83741,0.56337,0.00514,0.92004,0.84591,0.87841,0.68237,0.83745,0.50272,0.01362,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2656.19,0.79784,0.53702,0.00467,0.93486,0.92466,0.95485,0.76302,0.71998,0.35953,0.01303,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3040.65,0.7497,0.51447,0.00426,0.93301,0.92149,0.95837,0.772,0.779,0.3699,0.014,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3412.68,0.72229,0.48978,0.00401,0.90998,0.94856,0.96617,0.78635,0.7328,0.34215,0.01369,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3797.23,0.70797,0.47732,0.00387,0.94703,0.93743,0.96313,0.7845,0.72965,0.34238,0.01501,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
