epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,136.372,1.18254,3.60329,0.01029,0.82227,0.79176,0.88129,0.71111,0.72869,0.71705,0.00888,0.00998024,0.00332675,0.00998024,0.00332675,0.00998024,0.00332675,0.00998024,0.00332675
2,305.999,0.87091,0.61322,0.00639,0.80399,0.86472,0.9183,0.74535,0.65851,0.53663,0.00674,0.0198484,0.00661612,0.0198484,0.00661612,0.0198484,0.00661612,0.0198484,0.00661612
3,608.451,0.88684,0.63765,0.00641,0.85962,0.91111,0.93388,0.6532,0.98742,0.63864,0.01179,0.0295845,0.0098615,0.0295845,0.0098615,0.0295845,0.0098615,0.0295845,0.0098615
4,909.223,0.86875,0.5807,0.00572,0.93114,0.93284,0.96192,0.76286,0.77911,0.39323,0.00906,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1211.02,0.8119,0.53382,0.00456,0.94263,0.93557,0.96141,0.77778,0.74088,0.39334,0.00906,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1511.04,0.76812,0.5034,0.00418,0.93062,0.94044,0.96495,0.7887,0.70583,0.34662,0.01043,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1785.45,0.73135,0.48117,0.00382,0.95402,0.94879,0.96622,0.78245,0.70917,0.33967,0.01209,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2084.14,0.71988,0.45562,0.00371,0.91169,0.9297,0.95891,0.78031,0.72024,0.36644,0.01293,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2381.03,0.70924,0.44485,0.00357,0.94964,0.91351,0.96604,0.77929,0.75423,0.33674,0.01295,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2680.49,0.69059,0.44027,0.00343,0.95904,0.93361,0.97253,0.79193,0.71811,0.32608,0.01265,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2977.28,0.67231,0.4124,0.00329,0.96236,0.95117,0.97197,0.81102,0.67884,0.30714,0.01168,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,3269.84,0.66672,0.41034,0.00326,0.9268,0.95789,0.97179,0.81129,0.68398,0.30419,0.01195,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,3563.14,0.65405,0.39648,0.00315,0.95257,0.95722,0.97433,0.8069,0.67454,0.31066,0.01177,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,3863.43,0.64394,0.40396,0.00312,0.95962,0.95864,0.97332,0.81294,0.6518,0.30058,0.01267,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,4162.76,0.63952,0.39145,0.00303,0.93613,0.9593,0.97417,0.8127,0.63688,0.31264,0.01127,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,4462.62,0.63763,0.39479,0.00302,0.95916,0.95858,0.97556,0.81141,0.64455,0.29321,0.01142,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,4755.75,0.62799,0.37977,0.00297,0.95375,0.95152,0.97504,0.83072,0.59177,0.29225,0.01017,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,5046.4,0.61952,0.38514,0.00296,0.96193,0.95112,0.97183,0.81753,0.64386,0.29849,0.01031,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,5344.35,0.60492,0.37115,0.00293,0.95936,0.96718,0.97649,0.8206,0.6535,0.28339,0.0119,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,5643.98,0.61364,0.37953,0.00289,0.94814,0.95526,0.97419,0.8202,0.62581,0.29886,0.0117,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,5943.64,0.60732,0.37663,0.00287,0.94475,0.9497,0.97347,0.81871,0.64088,0.30666,0.01198,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,6239.32,0.60783,0.36544,0.00285,0.95803,0.9388,0.97519,0.82682,0.62728,0.29076,0.01191,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,6527.82,0.59628,0.37433,0.00285,0.9258,0.95332,0.97408,0.82235,0.64863,0.36471,0.01148,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,6825.99,0.60202,0.3664,0.00289,0.95827,0.95073,0.97541,0.82487,0.67836,0.29519,0.01208,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,7123.88,0.59834,0.35363,0.00279,0.96174,0.9263,0.97247,0.81782,0.64326,0.34809,0.01176,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,7422.55,0.5894,0.35307,0.00282,0.96213,0.94733,0.97505,0.81468,0.64002,0.32441,0.01179,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,7720.32,0.59387,0.35682,0.00284,0.96372,0.96373,0.97798,0.82564,0.65785,0.27273,0.01243,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,8000.79,0.59599,0.35245,0.00278,0.94299,0.95536,0.97188,0.81077,0.65753,0.30283,0.01237,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,8300.33,0.58629,0.35176,0.00275,0.96036,0.96049,0.97607,0.82513,0.63418,0.29512,0.01148,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,8600.53,0.58527,0.34959,0.0028,0.96041,0.96333,0.97701,0.83041,0.63522,0.28949,0.01208,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,8898.93,0.58495,0.33659,0.00276,0.95624,0.95148,0.97695,0.8228,0.62858,0.30841,0.01156,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,9197.55,0.57558,0.34659,0.00274,0.93966,0.95794,0.97665,0.83082,0.60226,0.30806,0.01107,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,9476.09,0.57353,0.34549,0.00272,0.93424,0.96547,0.97785,0.83236,0.63012,0.32331,0.01176,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,9776.08,0.57313,0.33542,0.00267,0.95186,0.94186,0.96975,0.82021,0.63898,0.33861,0.01238,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,10075.6,0.57241,0.33804,0.00271,0.93634,0.94399,0.97463,0.82393,0.63626,0.33784,0.01216,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,10375.3,0.56505,0.33131,0.0027,0.95358,0.95613,0.97581,0.82697,0.64322,0.31459,0.01176,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,10675,0.57272,0.32158,0.00274,0.94091,0.94867,0.97626,0.82444,0.63886,0.35038,0.01212,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,10955.3,0.56419,0.32195,0.00267,0.88611,0.97944,0.97743,0.83246,0.6048,0.37079,0.01173,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,11254,0.56181,0.32447,0.00268,0.90914,0.84028,0.95741,0.80851,0.63981,0.43716,0.01205,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,11554.8,0.55915,0.32247,0.00264,0.82844,0.95631,0.96666,0.81488,0.65362,0.39287,0.0119,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,11854.5,0.55979,0.31719,0.00266,0.91773,0.94034,0.96541,0.81986,0.62757,0.374,0.0123,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,12155.5,0.55846,0.31669,0.00262,0.8826,0.95676,0.96797,0.82222,0.63474,0.47109,0.01226,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,12434.6,0.55209,0.3163,0.00259,0.92684,0.94853,0.97566,0.8293,0.63156,0.36241,0.01186,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,12734.7,0.55006,0.31933,0.00263,0.94079,0.96297,0.97446,0.82891,0.6263,0.32023,0.01194,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,13034.9,0.54898,0.3124,0.00257,0.91653,0.95505,0.97696,0.83024,0.61091,0.35704,0.01185,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,13335,0.55471,0.30771,0.00255,0.94167,0.9613,0.97656,0.82915,0.60335,0.30422,0.01156,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,13635.2,0.54403,0.29651,0.00251,0.96106,0.96261,0.97707,0.82898,0.62663,0.2903,0.01144,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,13916,0.53802,0.30446,0.00247,0.95207,0.95943,0.97726,0.83073,0.63586,0.31202,0.01214,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,14216.7,0.54128,0.28977,0.00251,0.93406,0.95676,0.97419,0.82851,0.62294,0.34973,0.01155,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,14518.3,0.53945,0.30129,0.00246,0.92791,0.96017,0.97623,0.82859,0.62205,0.35909,0.01176,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,14817.9,0.54065,0.29378,0.00251,0.93293,0.95554,0.97578,0.83171,0.62316,0.37833,0.01204,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,15117.8,0.53526,0.28049,0.00244,0.92931,0.93881,0.96788,0.81986,0.64529,0.36321,0.01202,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,15398.1,0.52801,0.29652,0.00234,0.85003,0.96907,0.97368,0.83238,0.6197,0.38207,0.01189,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,15698.7,0.5252,0.28785,0.00241,0.91371,0.95167,0.97113,0.82505,0.63598,0.37505,0.01196,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,16002.1,0.53022,0.28421,0.00233,0.92017,0.95875,0.9667,0.81935,0.65042,0.4356,0.01214,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,16300.9,0.51804,0.29619,0.00236,0.92267,0.96165,0.96307,0.82151,0.6262,0.41289,0.0121,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,16598.3,0.52467,0.29171,0.00236,0.89883,0.96026,0.97052,0.83614,0.61443,0.37722,0.01173,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,16876.4,0.51164,0.28226,0.00229,0.9156,0.94696,0.95641,0.81249,0.62234,0.38903,0.01217,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,17174.9,0.52293,0.26518,0.00228,0.94566,0.95472,0.97563,0.83228,0.62692,0.33289,0.0119,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,17471.8,0.5103,0.27903,0.00225,0.9442,0.95942,0.97661,0.83053,0.62233,0.35135,0.01195,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,17771.6,0.50908,0.27916,0.0022,0.938,0.94756,0.97524,0.83059,0.62784,0.35545,0.01239,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,18070.2,0.51173,0.27295,0.00226,0.9621,0.96425,0.97592,0.8296,0.62535,0.30291,0.01206,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,18347.9,0.50601,0.26278,0.00223,0.95153,0.95765,0.97417,0.82814,0.62319,0.32443,0.01206,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,18647.6,0.50569,0.25691,0.00221,0.90006,0.95308,0.96687,0.82038,0.63023,0.41658,0.01205,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,18947.7,0.49988,0.25694,0.00218,0.83352,0.97953,0.9634,0.81889,0.64738,0.40905,0.01243,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,19244.8,0.5015,0.25092,0.00217,0.83253,0.97605,0.96137,0.81501,0.64736,0.40794,0.01238,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,19543.2,0.49784,0.25265,0.00214,0.88103,0.97212,0.95651,0.81028,0.64449,0.39201,0.01233,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,19821.4,0.50302,0.2437,0.00217,0.85891,0.97707,0.96391,0.81658,0.64806,0.39462,0.01222,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,20119.7,0.4913,0.25263,0.00211,0.81832,0.94891,0.95923,0.81314,0.63724,0.4074,0.01214,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,20418.3,0.49849,0.24685,0.00212,0.87969,0.95178,0.95546,0.80974,0.63622,0.40805,0.01204,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,20715.3,0.48557,0.24267,0.00204,0.92933,0.96228,0.96922,0.82259,0.6399,0.3306,0.01207,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,21012.6,0.48883,0.24249,0.00205,0.85838,0.97838,0.95603,0.81074,0.65255,0.39244,0.01227,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
