epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,805.503,1.97292,7.8524,0.03436,0.71606,0.85447,0.87196,0.63537,0.93375,2.52172,0.01528,0.00999497,0.00333166,0.00999497,0.00333166,0.00999497,0.00333166,0.00999497,0.00333166
2,1584.93,0.98838,1.09298,0.00891,0.881,0.8878,0.93105,0.72198,0.85204,0.56981,0.01364,0.019863,0.006621,0.019863,0.006621,0.019863,0.006621,0.019863,0.006621
3,2356.48,0.90536,0.65206,0.00748,0.88446,0.87946,0.93161,0.71892,0.82919,0.48868,0.01394,0.029599,0.00986634,0.029599,0.00986634,0.029599,0.00986634,0.029599,0.00986634
4,3117.91,0.80615,0.55544,0.00618,0.91565,0.91986,0.95174,0.75042,0.78717,0.41476,0.01412,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,3882.99,0.7241,0.5036,0.00532,0.93762,0.92399,0.96225,0.78679,0.70694,0.36059,0.01308,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,4642.49,0.67944,0.46984,0.00484,0.95359,0.94724,0.96427,0.79241,0.68747,0.33005,0.01355,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,5404.3,0.65541,0.44673,0.00463,0.95131,0.9358,0.96219,0.79332,0.68334,0.33994,0.01319,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,6167.64,0.62521,0.42653,0.00437,0.95765,0.94583,0.96771,0.80254,0.69042,0.31858,0.01381,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,6930.67,0.61419,0.42164,0.00427,0.94878,0.93207,0.96481,0.81188,0.65293,0.31083,0.01302,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,7693.45,0.60106,0.406,0.0041,0.95719,0.95483,0.97278,0.82049,0.63023,0.28554,0.01287,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,8457.2,0.58957,0.39638,0.00396,0.95565,0.95369,0.96939,0.81334,0.64265,0.2951,0.01314,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,9220.59,0.57855,0.37962,0.00387,0.95423,0.9535,0.97287,0.82602,0.6196,0.30411,0.01283,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,9983.73,0.56744,0.38644,0.00369,0.96414,0.94908,0.97211,0.82962,0.61253,0.28574,0.01275,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,10747.1,0.56153,0.37763,0.00363,0.96415,0.96096,0.97527,0.82851,0.6267,0.28534,0.01321,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,11510.1,0.55593,0.37116,0.00354,0.94686,0.95539,0.97384,0.82625,0.61446,0.32416,0.01305,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,12273.4,0.54665,0.37069,0.00348,0.96319,0.96133,0.97539,0.82969,0.62596,0.28226,0.01316,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
