epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,56.3037,1.00731,1.90998,1.05358,0.92867,0.9385,0.95607,0.75987,0.67624,1.24043,0.7539,0.00998024,0.00332675,0.00998024,0.00332675,0.00998024,0.00332675,0.00998024,0.00332675
2,109.663,0.79595,0.93507,0.92524,0.94396,0.9102,0.94113,0.74256,0.68058,0.86089,0.82023,0.0198484,0.00661612,0.0198484,0.00661612,0.0198484,0.00661612,0.0198484,0.00661612
3,163.089,0.80686,0.73633,0.9376,0.95618,0.91247,0.95003,0.74321,0.74433,0.7663,0.88247,0.0295845,0.0098615,0.0295845,0.0098615,0.0295845,0.0098615,0.0295845,0.0098615
4,218.368,0.75758,0.60503,0.93042,0.96281,0.93899,0.96267,0.75488,0.70005,0.60118,0.91201,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,273.19,0.69615,0.53896,0.91376,0.95731,0.95385,0.96594,0.79154,0.61559,0.60454,0.93064,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,325.897,0.65174,0.50151,0.90411,0.95842,0.96388,0.9683,0.79691,0.62539,0.58329,0.92822,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,378.521,0.62416,0.47168,0.89937,0.95706,0.94711,0.96161,0.78827,0.65739,0.70243,0.9594,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,431.513,0.60447,0.45509,0.89162,0.95567,0.96687,0.97318,0.81086,0.58735,0.54311,0.97043,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,484.244,0.58582,0.44162,0.88844,0.94456,0.9741,0.97519,0.81797,0.59427,0.54788,0.95182,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,537.063,0.57802,0.43597,0.88888,0.96345,0.96847,0.97693,0.8232,0.57959,0.52909,0.96713,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,590.268,0.56619,0.42152,0.88445,0.96432,0.96572,0.97353,0.80732,0.62548,0.5343,0.99483,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,643.446,0.55695,0.41559,0.88264,0.96282,0.96794,0.97621,0.81896,0.58346,0.55877,0.97501,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,696.887,0.54393,0.40953,0.87892,0.96225,0.97202,0.9772,0.81463,0.60008,0.56278,1.00112,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,749.86,0.53572,0.40198,0.87759,0.94884,0.97451,0.97344,0.81412,0.57817,0.59285,0.94886,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,802.583,0.53131,0.39864,0.87491,0.95244,0.96246,0.97307,0.81723,0.56808,0.55672,0.90199,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,856.224,0.52871,0.39484,0.87649,0.96184,0.97262,0.97671,0.82859,0.56319,0.54004,0.97491,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,912.305,0.5195,0.3896,0.87412,0.9635,0.96722,0.97615,0.8128,0.61545,0.54849,1.01083,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,968.155,0.51693,0.38724,0.87251,0.96258,0.97368,0.97807,0.83404,0.58008,0.52839,1.01881,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1023.75,0.50943,0.38139,0.87434,0.96477,0.97093,0.97634,0.82838,0.58747,0.54907,0.97139,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1078.97,0.51028,0.38201,0.87292,0.95627,0.97401,0.9772,0.83291,0.55274,0.5267,0.95716,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1133.19,0.5013,0.37465,0.87008,0.96121,0.97163,0.97897,0.83334,0.54841,0.54809,0.9465,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1185.72,0.50013,0.3748,0.869,0.96066,0.97624,0.97919,0.82974,0.56398,0.52459,0.97967,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1238.96,0.49822,0.37115,0.8705,0.96097,0.97259,0.97859,0.83322,0.53652,0.54309,0.91075,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,1293.99,0.49718,0.36856,0.86914,0.96639,0.97334,0.97789,0.83564,0.54968,0.56184,0.94766,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,1350.01,0.49164,0.36578,0.86669,0.96576,0.97089,0.97941,0.82584,0.56229,0.53981,0.95187,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,1405.62,0.48851,0.36394,0.8676,0.96487,0.97111,0.9793,0.82576,0.55454,0.53874,0.92882,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,1461.08,0.48565,0.35892,0.86747,0.96517,0.97212,0.97923,0.83417,0.56106,0.53295,0.95665,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,1516.59,0.48721,0.36013,0.86619,0.96143,0.97532,0.97867,0.84243,0.5456,0.54426,0.92484,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,1571.86,0.48348,0.35338,0.86504,0.96329,0.97343,0.97957,0.8348,0.56369,0.53726,0.96942,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,1624.48,0.48006,0.35389,0.86336,0.96422,0.97547,0.97868,0.83693,0.54641,0.53305,0.95159,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,1677.26,0.47941,0.35404,0.86655,0.96441,0.97287,0.98059,0.83347,0.55255,0.52879,0.94596,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,1730.35,0.47521,0.3531,0.86493,0.96261,0.97472,0.97919,0.83123,0.54079,0.54507,0.94025,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,1782.72,0.47618,0.35236,0.86596,0.96755,0.97253,0.98047,0.83476,0.54025,0.53201,0.95771,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,1835.34,0.47195,0.34677,0.86447,0.96407,0.9757,0.97972,0.83856,0.53846,0.52806,0.9665,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,1888.23,0.47071,0.34551,0.86255,0.9674,0.97393,0.97969,0.83972,0.55403,0.53084,0.9599,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,1943.21,0.46716,0.34213,0.86179,0.9656,0.97393,0.97876,0.8392,0.54354,0.52656,0.98043,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,1999.11,0.46562,0.34234,0.86252,0.96656,0.97588,0.97928,0.83585,0.54533,0.53218,0.96435,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,2051.95,0.46369,0.33954,0.86106,0.96645,0.97519,0.97975,0.84454,0.53666,0.53397,0.97181,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,2107.19,0.46186,0.33734,0.85909,0.96394,0.97863,0.9807,0.84904,0.53984,0.51996,0.98897,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,2163.56,0.46209,0.33858,0.86007,0.96553,0.9745,0.98063,0.84128,0.54964,0.53995,0.96776,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,2216.25,0.46226,0.33601,0.85891,0.9664,0.97447,0.97997,0.84335,0.53494,0.52634,0.97714,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,2269.24,0.45734,0.33549,0.85935,0.96553,0.97551,0.9799,0.84333,0.54996,0.53922,0.9861,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,2322.31,0.45643,0.33046,0.8599,0.96031,0.97823,0.97938,0.83467,0.55627,0.51112,0.98725,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,2375.1,0.45488,0.3276,0.85708,0.96806,0.97422,0.97797,0.83576,0.54573,0.54306,0.98483,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,2427.6,0.45567,0.32814,0.85712,0.96531,0.97591,0.97924,0.84367,0.54301,0.55441,0.97435,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,2480.69,0.45694,0.32916,0.85874,0.96216,0.97624,0.97915,0.83988,0.53501,0.55079,0.97982,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,2535.91,0.45094,0.3262,0.85861,0.96513,0.9747,0.97886,0.8408,0.53868,0.54567,0.9817,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,2592.6,0.44924,0.32637,0.85653,0.96613,0.97693,0.97868,0.84173,0.5358,0.54393,0.97732,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,2648.99,0.44759,0.32193,0.85827,0.96913,0.97421,0.98089,0.84255,0.53944,0.54135,0.96519,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,2705.1,0.44737,0.32359,0.85802,0.96634,0.97332,0.97951,0.83848,0.53911,0.53505,0.99495,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,2761.22,0.44473,0.32342,0.85627,0.96446,0.97864,0.97936,0.83827,0.53529,0.54012,0.97263,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,2816.94,0.44548,0.32092,0.85561,0.96482,0.97782,0.97853,0.83922,0.53918,0.54696,0.9877,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,2873.08,0.44355,0.31763,0.85524,0.9684,0.97365,0.9792,0.84536,0.54056,0.54272,0.99293,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,2929.77,0.44127,0.31632,0.85593,0.96534,0.97635,0.98004,0.84923,0.53734,0.54579,0.99102,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
